Year of coll,Rearing number,leg,country,region,site,Ndecdeg,Edecdeg,Elevation,Salix,Salix author,genus,species,Genus species,Rgaller,author,code galltype,code galltype simplified,n galls,n clean galls,n real galls,parasitised galls,unparasitised galls,total parasitism rate,Anaprostocetus acuminatus (Ratzeburg 1848),Aprostocetus alveatus Graham 1961,Aprostocetus tymber (Walker 1839),Aprostocetus sp.,Chrysocharis elongata (Thomson 1878),Cirrospilus vittatus Walker 1838,Closterocerus trifasciatus Westwood 1833,Dicladocerus westwoodi Westwood 1832,Entedon heyeri (Ratzeburg 1848),Euderus albitarsis (Zetterstedt 1838),Pediobius saulius (Walker 1839),Pnigalio nemati (Westwood 1838),Pnigalio pectinicornis (Linnaeus 1758),Pnigalio soemius (Walker 1839),Tetrastichus sp.1,Tetrastichus sp.2,Tetrastichus sp.3,Tetrastichus sp.4,Tetrastichus sp.5,Tetrastichus sp.6,Tetrastichus sp.,Eurytoma aciculata Ratzeburg 1848,Eurytoma nobbei Mayr 1878,Eurytoma salicis Walker 1834,Eurytoma sp.,Mymaridae gen. sp.,Eulonchetron torymoides (Thomson 1878),Eupelmus urozonus Dalman 1820,Macroneura vesicularis (Retzius 1783),Mesopolobus ?longicollis Graham 1969,Pteromalus cyniphidis (Linnaeus 1758),Pteromalus dolichurus (Thomson 1878),Pteromalus euurae Askew 1995,Pteromalus pontaniae Askew 1985,Pteromalus sp.,Sympiesis ?alcalle (Walker 1848),Torymus sp.,Chalcidoidea indet.,Apanteles ?morrisi Mason 1974,Apanteles xanthostigma (Haliday 1834),Apanteles sp.,Bracon breviusculus (Wesmael 1838),Bracon conjugellae Bengtsson 1924,Bracon discoideus (Wesmael 1838),Bracon epitriptus Marshall 1885,Bracon immutator Nees 1834,Bracon intercessor Nees 1834,Bracon kopelkei Papp 2000,Bracon lividus Telenga 1936,Bracon obscurator Nees 1811,Bracon picticornis (Wesmael 1838),Bracon pulcher Bengtsson 1924,Bracon romani Fahringer 1927,Bracon sp.,Colastes flavitarsis (Thomson 1892),Colastes gracilis Papp 1975,Colastes ?incertus (Wesmael 1838),Colastes laevis (Thomson 1892),Colastes nr. subquadratus Achterberg,Dolichogenidea coleophorae (Wilkinson 1938),Dolichogenidea longicauda (Wesmael 1837),Ichneutes brevis Wesmael 1835,Ichneutes lapponicus Thomson 1895,Ichneutes reunitor Nees 1816,Ichneutes sp.,Lissogaster subcompleta (Nees v. Esenbeck 1834),Shawiana lapponica (Thomson 1892),Braconidae indet.,Adelognathus cubiceps Roman 1925,Adelognathus pusillus Holmgren 1857,Adelognathus trochanteratus Kasparyan 1986,Adelognathus sp.,Anoncus gallicola Kasparyan & Kopelke 2009,Aptesis nigrocincta (Gravenhorst 1815),Campodorus variegatus Jurine 1807,Campoplex sp.,Cteniscus dorsalis Cresson 1864,Ctenochira ?oreophila (Schmiedeknecht 1912),Ctenochira romani (Pfankuch 1925),Ctenochira,Diaparsis stramineipes (Brischke 1880),Eclytus sp.,Eridolius frontator  Kasparyan 1985,Eridolius pygmaeus (Holmgren 1857),Eridolius taigensis Kasparyan 1985,Eridolius sp.,Erromenus analis Brischke 1871,Exochus sp. 1,Exyston calcaratus Thomson 1883,Gambrus ornatus (Gravenhorst 1829),Gelis sp.,Itoplectis alternans (Gravenhorst 1829),Lathrostizus alpicola Horstmann 2004,Lathrostizus alpinus Horstmann 1971,Lathrostizus flexicauda (Holmgren 1860),Lathrostizus forticauda  (Thomson 1887),Lathrostizus lapponicus Horstmann 2004,Lathrostizus lugens (Gravenhorst 1829),Lathrostizus punctipes  (Thomson 1887),Lissonota ?alpinistor Aubert 1969,Mesochorus sp.1,Mesoleius sp.,Olesicampe sp.,Polyblastus pumilus Holmgren 1855,Polyblastus sp.?,Probles clavicornis Horstmann 1971,Rhinotorus brachycerus Kasparyan & Kopelke 2009,Saotis alpinator Kasparyan & Kopelke 2009,Saotis boreator Kasparyan & Kopelke 2010,Saotis granulator Kasparyan & Kopelke 2010,Saotis morleyi Fitton 1976,"Saotis nigriscuta (Thomson, 1883)",Saotis pygidiator pygidiator Kasparyan & Kopelke 2009,"Saotis renovata (Morley, 1911)",Saotis subarctor Kasparyan & Kopelke 2010,Saotis tricolor (Thomson 1883),Saotis sp.,Scambus vesicarius (Ratzeburg 1844),Theroscopus hemipteron (Riche 1791) insignipennis (Schmiedeknecht 1905),Lathrostizus/Olesicampe sp.,Ichneumonidae indet.,Apion minimum Herbst 1797,Curculio crux Fabricius 1776,Curculio salicivorus Paykull 1792,Euphranta toxoneura (Loew 1846),Hydriomena ruberata Freyer 1831
1987,198714E1-J1Oelaea,20.07.87,Austria,Tirol,Gern-Alm,"47,45","11,6166666667",1253,elaeagnos,Scop. 1772,Pontania,elaeagnocola,Pontania elaeagnocola,Oelaea,Kopelke 1994,RK1,Leaf blade sausage gall,22,0,22,20,2,"0,9090909091",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,5,,,1
1987,198714L1-V1Obridg,20.07.87,Austria,Tirol,Gern-Alm,"47,45","11,6166666667",1253,appendiculata,Villars 1789,Pontania,bridgmanii,Pontania bridgmanii,Obridg,(Cameron 1883),RK3,Leaf blade bean gall,32,7,25,15,10,"0,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,
1987,198715A1-V1Ovaria,22.07.87,Austria,Tirol,"Zillertal, Hintertux/ Weitental","47,1","11,65",1769,myrsinifolia,Salisbury 1796,Pontania,varia,Pontania varia,Ovaria,Kopelke 1991,RK4,Leaf midrib pea gall,66,0,66,30,36,"0,4545454545",,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
1987,198715A-VOobscu,20.07.87,Austria,Tirol,"Rofan Gebirge, Erfurter Hütte","47,4333333333","11,75",1875,foetida,Schleich. 1805,Pontania,obscura,Pontania obscura,Oobscu,Kopelke 2005,RK3,Leaf blade bean gall,66,14,52,34,18,"0,6538461538",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1987,198714A-C1Okriec,20.07.87,Austria,Tirol,Gern-Alm,"47,45","11,6166666667",1253,elaeagnos,Scop. 1772,Pontania,kriechbaumeri,Pontania kriechbaumeri,Okriec,Konow 1901,RK4,Leaf midrib pea gall,91,0,91,78,13,"0,8571428571",,,,,,,,,,,,,,,,,,,,,,1,,,,,4,,,,,1,,,,,,64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,
1987,198716A-C1Onigri,22.07.87,Austria,Tirol,"Zillertal, Hintertux/ Weitental","47,1","11,65",1769,myrsinifolia,Salisbury 1796,Pontania,nigricantis,Pontania nigricantis,Onigri,Kopelke 1986,RK1,Leaf blade sausage gall,92,8,84,27,57,"0,3214285714",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,23,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
1987,198716E1-V1Ovaria,22.07.87,Austria,Tirol,"Zillertal, Hintertux/ Weitental","47,1","11,65",1769,myrsinifolia,Salisbury 1796,Pontania,varia,Pontania varia,Ovaria,Kopelke 1991,RK4,Leaf midrib pea gall,54,8,46,24,22,"0,5217391304",,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,1,,,,,,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1987,198717A-P1Ofoeti,22.07.87,Austria,Tirol,"Zillertal, Hintertux/ Weitental","47,1","11,65",1769,foetida,Schleich. 1805,Pontania,foetidae,Pontania foetidae,Ofoeti,Kopelke 1989,RK2,Leaf midrib bean gall,125,0,125,8,117,"0,064",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
1987,198718A-Q1Oobscu,22.07.87,Austria,Tirol,"Zillertal, Hintertux/ Weitental","47,1","11,65",1769,foetida,Schleich. 1805,Pontania,obscura,Pontania obscura,Oobscu,Kopelke 2005,RK3,Leaf blade bean gall,129,12,117,1,116,"0,0085470085",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1987,198719A-DOnigri,22.07.87,Austria,Tirol,"Zillertal, Hintertux/ Weitental","47,1","11,65",1769,myrsinifolia,Salisbury 1796,Pontania,nigricantis,Pontania nigricantis,Onigri,Kopelke 1986,RK1,Leaf blade sausage gall,14,5,9,1,8,"0,1111111111",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1987,198719F-JOvaria,22.07.87,Austria,Tirol,"Zillertal, Hintertux/ Weitental","47,1","11,65",1769,myrsinifolia,Salisbury 1796,Pontania,varia,Pontania varia,Ovaria,Kopelke 1991,RK4,Leaf midrib pea gall,14,0,14,1,13,"0,0714285714",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
1987,198719I1-L1Ohasta,22.07.87,Austria,Tirol,"Zillertal, Hintertux/ Weitental","47,1","11,65",1769,hastata,Linnaeus 1753,Pontania,hastatae,Pontania hastatae,Ohasta,Vikberg 1970,RK4,Leaf midrib pea gall,12,0,12,0,12,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1987,198719T-G1Ofoeti,22.07.87,Austria,Tirol,"Zillertal, Hintertux/ Weitental","47,1","11,65",1769,foetida,Schleich. 1805,Pontania,foetidae,Pontania foetidae,Ofoeti,Kopelke 1989,RK2,Leaf midrib bean gall,42,0,42,1,41,"0,0238095238",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
1987,198720A-D1Oadaph,22.07.87,Austria,Tirol,"Zillertal, Lanersbach","47,15","11,7666666667",1553,daphnoides,Villars 1789,Pontania,acutifoliae daphnoides,Pontania acutifoliae daphnoides,Oadaph,Zinovjev 1993,RK4,Leaf midrib pea gall,90,0,90,7,83,"0,0777777778",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
1987,198720E1-V1Ovaria,22.07.87,Austria,Tirol,"Zillertal, Lanersbach","47,15","11,7666666667",1553,myrsinifolia,Salisbury 1796,Pontania,varia,Pontania varia,Ovaria,Kopelke 1991,RK4,Leaf midrib pea gall,72,0,72,9,63,"0,125",,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4
